Operator Name,Country / Region,Website URL,Gambia Page URL,Gambia Tour Pages,Visibility & Navigation,Product Type,Itinerary Depth - % Gambia,Itinerary Depth - Detail Level,Sun & Beach,Nature & Wildlife,Adventure,Culture & Heritage,Festivals & Cultural Events,Audiovisual (Film/Photo/TV/Video),Marketing/Advertising/Publishing,Crafts & Artisan Products,Fashion & Design,Music,Performing & Visual Arts,Heritage Sites & Museums,Positioning & Target Audience,Booking Pathway,Media Quality,Media - UGC/Testimonials,Media - TripAdvisor Integration,Price Transparency,Language Availability,Local Partnerships,Seasonality Framing,Last Scraped,Scrape Status
Intrepid Travel UK,UK,,https://www.intrepidtravel.com/uk/gambia,https://www.intrepidtravel.com/uk/senegal/senegal-gambia-adventure-161244,Unknown,Itinerary,58%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,Yes,No,From pricing,"en, fr","abuko nature reserve, kunta kinteh island, arch 22, national museum, albert market, gambia tours","year_round, dry_season",2025-09-30 10:56:05,Success
Love Holidays,UK,,https://www.loveholidays.com/holidays/gambia-holidays.html,,Unknown,Flight+Hotel,N/A,N/A,No,No,No,No,No,No,No,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
Luxotour,Spain,,https://www.luxotour.com/en/africa/gambia,https://www.luxotour.com/en/africa/gambia/sindola-and-south-gambia,Unknown,Itinerary,62%,Day-by-day,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,Yes,No,Clear packages,"en, es, fr","sindola safari lodge, makasutu, kiang west national park, sanyang beach",christmas_new_year,2025-09-30 10:56:05,Success
Meier’s Weltreisen,Germany,,https://www.meiers-weltreisen.de/reiseziele/afrika/gambia,,Unknown,Tailor-made,97%,Summary only,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,de,"kachikally crocodile pool, james island, arch 22, albert market, serrekunda market, tanbi wetland complex",,2025-09-30 10:56:05,Success
Naturetrek,UK,,https://www.naturetrek.co.uk/destinations/africa/gambia,"https://www.naturetrek.co.uk/tours/the-gambia-in-style, https://www.naturetrek.co.uk/tours/gambia, https://www.naturetrek.co.uk/tours/the-gambia-in-style-photography-special",Unknown,Mixed,100%,Day-by-day,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,,Enquiry-only,Unknown,Yes,No,From pricing,en,"mandina lodges, mandina river lodge, makasutu",christmas_new_year,2025-09-30 10:56:05,Success
Neckermann Reisen,Germany,,https://neckermann.be/nl/vakanties/exotische-vakanties/gambia,,Unknown,Flight+Hotel,100%,N/A,No,No,No,No,No,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,nl,"bijilo forest park, bijilo forest",,2025-09-30 10:56:05,Success
Olympic Holidays,Unknown (Greek / Cyprus / UK),,https://www.olympicholidays.com/destinations/the-gambia/,,Unknown,Flight+Hotel,67%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,"en, it","senegambia beach hotel, ocean bay hotel, sunset beach hotel, abuko nature reserve, makasutu, bijilo forest park, bijilo forest, lamin lodge, kololi beach, gambia experience, the gambia experience","winter_sun, year_round, rainy_season",2025-09-30 10:56:05,Success
On The Beach,UK,,https://www.onthebeach.co.uk/destinations/gambia,,Unknown,Flight+Hotel,N/A,N/A,No,No,No,No,No,No,No,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
Overlanding West Africa,UK,,https://www.overlandingwestafrica.com/trip-overview-availability/,https://www.overlandingwestafrica.com/dakar-to-freetown/,Unknown,Itinerary,18%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Clear packages,"en, fr","the kora, kachikally crocodile pool, wassu stone circles, albert market, bintang bolong",dry_season,2025-09-30 10:56:05,Success
Overseas Adventure Travel,USA,,https://www.oattravel.com/trips/small-ship-adventures/africa/west-africa-cruise/2021/itineraries,https://www.oattravel.com/trips/small-ship-adventures/africa/west-africa-cruise/2021/itineraries,Unknown,Itinerary,N/A,N/A,No,No,No,No,No,No,No,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
Palace Travel,USA,,https://www.palacetravel.com/places/gambia/,,Unknown,Flight+Hotel,96%,N/A,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,en,"stone circles of senegambia, kunta kinteh island","dry_season, rainy_season",2025-09-30 10:56:05,Success
Responsible Travel,,,https://www.responsibletravel.com/holidays/gambia,"https://www.responsibletravel.com/holiday/33806/west-africa-river-cruise-holiday, https://www.responsibletravel.com/holiday/2774/senegal-and-gambia-river-cruise-holiday, https://www.responsibletravel.com/holiday/33807/gambia-and-senegal-river-cruise-holiday",Unknown,Itinerary,62%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Enquiry-only,Unknown,Yes,No,From pricing,en,"abuko nature reserve, wassu stone circles, tanji bird reserve, national museum, albert market, bao bolong wetland reserve, kiang west national park, gambia tours","dry_season, rainy_season",2025-09-30 10:56:05,Success
Serenity Holidays,UK,,https://www.serenity.co.uk/destinations/gambia,,Unknown,Flight+Hotel,100%,Summary only,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,en,"gambia experience, the gambia experience",year_round,2025-09-30 10:56:05,Success
Spector Travel Boston,USA,,https://www.spectortravel.com/roots-culture-tours/the-gambia/,https://www.spectortravel.com/roots-culture-tours/the-gambia/,Unknown,Itinerary,38%,Summary only,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,gambia tours,,2025-09-30 10:56:05,Success
Spies (Globus Danmark),Denmark,,https://www.spies.dk/gambia,,Unknown,Flight+Hotel,99%,Summary only,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,da,"albert market, kotu beach",,2025-09-30 10:56:05,Success
The Gambia Experience,UK,,https://www.gambia.co.uk/,"https://www.gambia.co.uk/rivers-of-west-africa-7-night-cruise?rg=19000425&oo=false&back=true, https://www.gambia.co.uk/birdlife-of-the-gambia?rg=19000425&oo=false&back=true,",Unknown,Mixed,38%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,Yes,No,From pricing,en,"coco ocean, ngala lodge, mandina lodges, lemon creek, lemon creek hotel, kairaba hotel, kombo beach hotel, senegambia beach hotel, ocean bay hotel, leo's beach hotel, sunset beach hotel, bakotu hotel, albert market, river gambia national park, bao bolong wetland reserve, kiang west national park, fathala wildlife reserve, gambia experience, the gambia experience, gambia bird","birding_season, christmas_new_year, summer_holidays",2025-09-30 10:56:05,Success
Thomas Cook UK,UK,,https://www.thomascook.com/holidays/gambia/package,,Unknown,Flight+Hotel,100%,Multi-day overview,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,From pricing,en,"kairaba hotel, senegambia beach hotel, ocean bay hotel, sunset beach hotel, bao bolong wetland reserve, kiang west national park",,2025-09-30 10:56:05,Success
Tjareborg,Finland,,https://www.tjareborg.fi/gambia,,Unknown,Flight+Hotel,77%,N/A,No,No,No,No,No,Yes,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
TransAfrica,West Africa,,https://transafrica.biz/en/travel/2025-the-african-west-coast-10-days-senegal-and-the-gambia/,"https://transafrica.biz/en/travel/2025-the-african-west-coast-10-days-senegal-and-the-gambia/, https://transafrica.biz/en/travel/2026-desert-savannah-and-forest-10-days-mauritania-senegal-and-gambia/, https://transafrica.biz/en/travel/2026-the-african-west-coast-14-days-senegal-the-gambia-guinea-bissau/, https://transafrica.biz/en/travel/2026-carnival-in-bissau-14-days-senegal-gambia-guinea-bissau/, https://transafrica.biz/en/travel/2026-the-african-west-coast-10-days-senegal-the-gambia/, https://transafrica.biz/en/travel/2026-bassari-and-bedik-tribes-13-days-senegal-and-gambia/, https://transafrica.biz/en/travel/2025-the-african-west-coast-14-days-senegal-gambia-guinea-bissau, https://transafrica.biz/en/travel/2025-desert-savannah-and-forest-10-days-mauritania-senegal-and-gambia/",Unknown,Itinerary,21%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,From pricing,"de, en, es, fr, it","kunta kinteh island, james island, arch 22, national museum, albert market",dry_season,2025-09-30 10:56:05,Success
TUI,UK,,https://www.tui.co.uk/destinations/africa/gambia/holidays-gambia.html,,Unknown,Flight+Hotel,97%,N/A,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,en,"senegambia beach hotel, river gambia national park",,2025-09-30 10:56:05,Success
TUI (Netherlands),Netherlands,,https://www.tui.nl/vakantie/gambia/,,Unknown,Flight+Hotel,100%,N/A,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,ngala lodge,,2025-09-30 10:56:05,Success
TUI UK,UK,,https://www.tui.co.uk/destinations/africa/gambia/holidays-gambia.html,,Unknown,Flight+Hotel,97%,N/A,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,en,"senegambia beach hotel, river gambia national park",,2025-09-30 10:56:05,Success
Ving,Sweden,,https://www.ving.se/gambia/,,Unknown,Flight+Hotel,98%,Summary only,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,en,albert market,,2025-09-30 10:56:05,Success
Wild Birding,International,,https://wildbirding.tours/tour-item/wild-gambia-birding/,https://wildbirding.tours/tour-item/wild-gambia-birding/,Unknown,Mixed,88%,Day-by-day,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,,Enquiry-only,Unknown,No,No,Clear packages,en,"abuko nature reserve, gambia bird","year_round, birding_season",2025-09-30 10:56:05,Success
Wildlife Worldwide,UK,,https://www.wildlifeworldwide.com/discover/gambia,https://www.wildlifeworldwide.com/group-tours/west-african-birdwatch,Unknown,Itinerary,67%,Day-by-day,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,Enquiry-only,Unknown,No,No,From pricing,en,"senegambia beach hotel, kiang west national park","dry_season, rainy_season",2025-09-30 10:56:05,Success
World Insight,Germany,,https://www.world-insight.de/erlebnisreisen/senegal-und-gambia/,https://www.world-insight.de/erlebnisreisen/senegal-und-gambia/,Unknown,Itinerary,43%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,de,"makasutu, james island, arch 22, albert market",,2025-09-30 10:56:05,Success
