recommendation,name,eco_adventure_score,total_reviews,avg_rating,keyword_hits,top_keywords,exclusion_signals,tripadvisor_url
INCLUDE,Mack Air,1.0,27,4.8,41,"delta, safari, okavango, eco, moremi, khwai, savuti, game, elephant, animal",,https://www.tripadvisor.com/Attraction_Review-g317055-d21291487-Reviews-Mack_Air-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Makgadikgadi Salt Pan,1.0,15,4.7,46,"animal, bird, elephant, wildebeest, game, moremi, zebra, game viewing, guide, delta",,https://www.tripadvisor.com/Attraction_Review-g472670-d3259396-Reviews-Makgadikgadi_Salt_Pan-Makgadikgadi_Pans_National_Park_Central_District.html
INCLUDE,Manyana Rock Paintings,1.0,1,3.0,2,"protect, guide",,https://www.tripadvisor.com/Attraction_Review-g12958364-d23538438-Reviews-Manyana_Rock_Paintings-Mmankgodi_Kweneng_District.html
INCLUDE,Matsieng's Footprints,1.0,1,5.0,1,footprint,,https://www.tripadvisor.com/Attraction_Review-g293767-d5983764-Reviews-Matsieng_s_Footprints-Gaborone_South_East_District.html
INCLUDE,Mogonye Gorge,1.0,1,4.0,1,adventure,,https://www.tripadvisor.com/Attraction_Review-g293767-d5993696-Reviews-Mogonye_Gorge-Gaborone_South_East_District.html
INCLUDE,Mokolodi Nature Reserve,1.0,26,3.7,160,"reserve, animal, game, game drive, rhino, giraffe, eco, impala, guide, track",,https://www.tripadvisor.com/Attraction_Review-g293767-d5971370-Reviews-Mokolodi_Nature_Reserve-Gaborone_South_East_District.html
INCLUDE,Moremi Game Reserve,1.0,16,4.4,143,"animal, moremi, elephant, game, reserve, delta, hippo, okavango, lion, game reserve",,https://www.tripadvisor.com/Attraction_Review-g317055-d16864828-Reviews-Moremi_Game_Reserve-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Moremi Gorge,1.0,2,3.5,3,"walk, guide, vulture",,https://www.tripadvisor.com/Attraction_Review-g1379986-d1749899-Reviews-Moremi_Gorge-Palapye_Central_District.html
INCLUDE,Moremi Wildlife Reserve,1.0,34,4.8,302,"animal, safari, moremi, wildlife, elephant, lion, bird, reserve, guide, game",,https://www.tripadvisor.com/Attraction_Review-g316101-d553850-Reviews-Moremi_Wildlife_Reserve-Moremi_Game_Reserve_Okavango_Delta_North_West_District.html
INCLUDE,Nata Bird Sanctuary,1.0,12,3.3,43,"bird, wildebeest, wildlife, jackal, sighting, track, zebra, makgadikgadi, antelope, guide",,https://www.tripadvisor.com/Attraction_Review-g316100-d7378503-Reviews-Nata_Bird_Sanctuary-Nata_Central_District.html
INCLUDE,Nyala Adventure Safaris,1.0,3,4.0,34,"safari, eco, guide, animal, game, wildlife, game drive, adventure",,https://www.tripadvisor.com/Attraction_Review-g317055-d33342815-Reviews-Nyala_Adventure_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Okavango Delta,1.0,41,4.9,275,"delta, okavango, safari, animal, mokoro, wildlife, elephant, game, guide, lion",,https://www.tripadvisor.com/Attraction_Review-g317055-d1643251-Reviews-Okavango_Delta-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Okavango River,1.0,7,5.0,47,"delta, okavango, animal, chobe, guide, wildlife, walk, mokoro, bird, untouched",,https://www.tripadvisor.com/Attraction_Review-g317055-d478949-Reviews-Okavango_River-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Old Palapye,1.0,2,4.5,5,"guide, okavango, track",,https://www.tripadvisor.com/Attraction_Review-g1379986-d13376630-Reviews-Old_Palapye-Palapye_Central_District.html
INCLUDE,Pangolin Photo Safaris,1.0,50,4.9,491,"safari, wildlife, chobe, guide, bird, eco, delta, game, game drive, elephant",,https://www.tripadvisor.com/Attraction_Review-g297318-d2482605-Reviews-Pangolin_Photo_Safaris-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Pat Mobile Safari,1.0,10,5.0,106,"safari, bird, animal, wildlife, eco, game, guide, delta, okavango, moremi",,https://www.tripadvisor.com/Attraction_Review-g317055-d26443236-Reviews-Pat_Mobile_Safari-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Planet Baobab,1.0,10,4.0,20,"eco, quad bike, swimming, walk, elephant, animal, zebra, jackal, guide, bird",,https://www.tripadvisor.com/Attraction_Review-g2361513-d15005104-Reviews-Planet_Baobab-Gweta_Central_District.html
INCLUDE,Savute Reserve,1.0,9,4.9,111,"savuti, wildlife, game, elephant, lion, reserve, leopard, eco, impala, chobe",,https://www.tripadvisor.com/Attraction_Review-g472669-d478945-Reviews-Savute_Reserve-Chobe_National_Park_North_West_District.html
INCLUDE,Serondela Reserve,1.0,2,5.0,8,"reserve, elephant, hippo, chobe, lion",,https://www.tripadvisor.com/Attraction_Review-g472669-d478934-Reviews-Serondela_Reserve-Chobe_National_Park_North_West_District.html
INCLUDE,Shangana Safaris Okavango Botswana,1.0,28,5.0,350,"safari, guide, animal, eco, moremi, elephant, game, lion, wildlife, track",,https://www.tripadvisor.com/Attraction_Review-g317055-d25136489-Reviews-Shangana_Safaris_Okavango_Botswana-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Temogo Safari,1.0,15,5.0,152,"guide, safari, lion, animal, game, moremi, delta, okavango, game drive, elephant",,https://www.tripadvisor.com/Attraction_Review-g317055-d15849756-Reviews-Temogo_Safari-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Three Chiefs' Statues,1.0,14,4.2,14,"guide, eco, walk, environment",,https://www.tripadvisor.com/Attraction_Review-g293767-d3396948-Reviews-Three_Chiefs_Statues-Gaborone_South_East_District.html
INCLUDE,Tsodilo Hills,1.0,7,4.0,20,"guide, eco, rhino, moremi, wildlife, adventure, sighting, kalahari, walk, safari",,https://www.tripadvisor.com/Attraction_Review-g480161-d311243-Reviews-Tsodilo_Hills-Shakawe_North_West_District.html
INCLUDE,Vuche Vuche Basket Weavers,1.0,2,5.0,2,"chobe, walk",,https://www.tripadvisor.com/Attraction_Review-g297318-d24186640-Reviews-Vuche_Vuche_Basket_Weavers-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,The Space Botswana,0.7692,2,4.0,1,safari,,https://www.tripadvisor.com/Attraction_Review-g317055-d23608761-Reviews-The_Space_Botswana-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Kuru Art Project,0.7194,2,5.0,1,kalahari,,https://www.tripadvisor.com/Attraction_Review-g1010148-d13121098-Reviews-Kuru_Art_Project-Ghanzi_Ghanzi_District.html
INCLUDE,Tawana Self Drive,0.6881,4,5.0,3,"animal, adventure, safari",,https://www.tripadvisor.com/Attraction_Review-g317055-d12033436-Reviews-Tawana_Self_Drive-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Bluetree World of Golf,0.2584,2,2.0,1,eco,,https://www.tripadvisor.com/Attraction_Review-g293767-d10681443-Reviews-Bluetree_World_of_Golf-Gaborone_South_East_District.html
EXCLUDE,Lion Park Resort,0.2,5,3.6,5,"lion, eco, swimming, thrill",water park,https://www.tripadvisor.com/Attraction_Review-g293767-d2661286-Reviews-Lion_Park_Resort-Gaborone_South_East_District.html
EXCLUDE,Riverwalk Mall,0.2,4,3.8,8,"walk, eco, sable",cinema,https://www.tripadvisor.com/Attraction_Review-g293767-d13235509-Reviews-Riverwalk_Mall-Gaborone_South_East_District.html
EXCLUDE,Steenbok Safari,0.2,4,4.5,20,"safari, national park, eco, chobe, guide, crocodile, hippo, big five, antelope, bird",shopping mall,https://www.tripadvisor.com/Attraction_Review-g297318-d1751418-Reviews-Steenbok_Safari-Kasane_Chobe_National_Park_North_West_District.html
EXCLUDE,Ultimate Africa Safaris,0.2,6,5.0,59,"safari, adventure, eco, guide, game, wildlife, game drive, bush camp, khwai, animal",boutique,https://www.tripadvisor.com/Attraction_Review-g472673-d19738147-Reviews-Ultimate_Africa_Safaris-Okavango_Delta_North_West_District.html
EXCLUDE,Botswanacraft,0.0687,11,4.4,3,"eco, environment, eland",boutique,https://www.tripadvisor.com/Attraction_Review-g293767-d3834162-Reviews-Botswanacraft-Gaborone_South_East_District.html
EXCLUDE,Airport Junction,0.0,2,5.0,0,,shopping mall,https://www.tripadvisor.com/Attraction_Review-g293767-d14959590-Reviews-Airport_Junction-Gaborone_South_East_District.html
EXCLUDE,Bahurutshe Cultural Village,0.0,1,3.0,0,,,https://www.tripadvisor.com/Attraction_Review-g293767-d15024511-Reviews-Bahurutshe_Cultural_Village-Gaborone_South_East_District.html
EXCLUDE,Gaborone Dam,0.0,1,5.0,0,,,https://www.tripadvisor.com/Attraction_Review-g293767-d479156-Reviews-Gaborone_Dam-Gaborone_South_East_District.html
EXCLUDE,Gantsi Craft,0.0,1,5.0,0,,,https://www.tripadvisor.com/Attraction_Review-g1010148-d19447148-Reviews-Gantsi_Craft-Ghanzi_Ghanzi_District.html
EXCLUDE,Lentswe-la-Oodi Weavers,0.0,1,5.0,0,,,https://www.tripadvisor.com/Attraction_Review-g15203108-d7217658-Reviews-Lentswe_la_Oodi_Weavers-Oodi_Kgatleng_District.html
EXCLUDE,Motsana,0.0,1,4.0,0,,,https://www.tripadvisor.com/Attraction_Review-g317055-d2310518-Reviews-Motsana-Maun_Ngamiland_East_North_West_District.html
EXCLUDE,National Assembly Building,0.0,1,1.0,0,,,https://www.tripadvisor.com/Attraction_Review-g293767-d9874826-Reviews-National_Assembly_Building-Gaborone_South_East_District.html
EXCLUDE,National Museum,0.0,3,3.0,0,,,https://www.tripadvisor.com/Attraction_Review-g293767-d4362754-Reviews-National_Museum-Gaborone_South_East_District.html
EXCLUDE,Sri Balaji Temple,0.0,1,5.0,0,,,https://www.tripadvisor.com/Attraction_Review-g293767-d7803339-Reviews-Sri_Balaji_Temple-Gaborone_South_East_District.html
